ids,Th1,Th10,Th11,Th12,Th14,Th15,Th16,Th17,Th18,Th19,Th2,Th20,Th21,Th23,Th25,Th27,Th29,Th3,Th30,Th32,Th33,Th34,Th36,Th38,Th39,Th40,Th41,Th42,Th43,Th44,Th45,Th46,Th47,Th48,Th5,Th50,Th51,Th6,Th7,Th9
1822,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,64,0,0,100,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
90775,0,0,0,0,66,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,49,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
2583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,100,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49250,0,0,0,0,0,81,0,0,100,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59105,0,0,0,0,0,0,0,0,0,75,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91576,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,14
95018,0,61,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,69,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48138,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98031,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5240,0,0,0,0,0,0,24,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84032,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,100,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0
89630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,48,100,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80070,0,0,0,0,0,0,0,0,0,100,0,0,0,20,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,60,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
78951,0,100,0,0,0,0,0,0,0,56,0,0,0,11,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,42,0,0,0,49,0
77651,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69120,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69371,67,41,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,0,0,0,0,0,100,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99324,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27854,0,0,0,0,0,0,0,0,69,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0
40780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27164,0,0,0,0,0,57,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58029,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0
71733,0,0,0,0,0,46,0,0,0,0,90,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,31,0,0
15681,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0
74220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,16,0,0,0,0,0,0,0,0,0,0
44316,0,0,0,0,0,0,0,0,78,0,0,0,1,0,0,0,56,80,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57706,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,15,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0
73655,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77692,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,56,0,100,0,31,100,35,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0
60081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11420,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49168,0,0,0,20,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1765,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94360,0,70,0,84,0,0,0,0,0,0,0,33,0,31,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
91043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
70099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25969,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90378,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79517,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
